t_rel_s,label,rms_m
58.012,screen,0.000693
58.054,screen,0.000687
58.093,screen,0.000664
58.139,screen,0.000720
58.176,screen,0.000724
58.218,screen,0.000666
58.260,screen,0.000625
58.294,screen,0.000663
58.340,screen,0.000645
58.375,screen,0.000645
58.419,screen,0.000655
58.459,screen,0.000684
58.495,screen,0.000641
58.540,screen,0.000628
58.576,screen,0.000563
58.618,screen,0.000733
58.658,screen,0.000868
58.697,screen,0.001015
58.741,screen,0.001167
58.777,screen,0.001064
58.820,screen,0.001101
58.858,screen,0.001095
58.897,screen,0.001076
58.943,screen,0.000941
58.976,screen,0.000899
59.022,screen,0.000930
59.058,screen,0.000954
59.099,screen,0.001030
59.142,screen,0.001179
59.177,screen,0.001576
59.220,screen,0.001785
59.260,screen,0.001708
59.302,screen,0.001067
59.341,screen,0.000789
59.378,screen,0.000697
59.423,screen,0.000683
59.460,screen,0.000707
59.498,screen,0.000647
59.542,screen,0.000642
59.577,screen,0.000597
59.622,screen,0.000601
68.223,screen,0.001185
68.258,screen,0.000855
68.291,screen,0.002032
68.324,screen,0.002463
68.359,screen,0.002299
68.393,screen,0.001746
68.435,screen,0.001431
68.470,screen,0.001148
68.502,screen,0.000995
68.537,screen,0.000929
68.571,screen,0.000788
68.606,screen,0.000837
69.951,screen,0.000746
69.994,screen,0.000637
70.029,screen,0.000623
70.075,screen,0.000671
70.111,screen,0.000683
70.150,screen,0.000651
70.195,screen,0.000665
70.241,screen,0.000628
70.278,screen,0.000618
70.316,screen,0.000551
70.362,screen,0.000541
70.395,screen,0.000514
70.443,screen,0.000603
70.479,screen,0.000609
70.516,screen,0.000626
70.561,screen,0.000785
70.595,screen,0.000693
70.644,screen,0.000640
70.678,screen,0.000646
70.721,screen,0.000602
70.760,screen,0.000543
70.798,screen,0.000537
70.842,screen,0.000496
70.879,screen,0.000481
70.921,screen,0.000494
70.959,screen,0.000465
70.997,screen,0.000530
71.044,screen,0.000539
71.078,screen,0.000583
71.123,screen,0.000544
71.162,screen,0.000520
71.199,screen,0.000525
71.245,screen,0.000495
71.276,screen,0.000483
71.323,screen,0.000496
71.362,screen,0.000511
71.399,screen,0.000510
71.448,screen,0.000519
71.480,screen,0.000501
71.529,screen,0.000515
71.562,screen,0.000508
71.601,screen,0.000487
71.644,screen,0.000528
71.680,screen,0.000606
71.728,screen,0.000643
71.760,screen,0.000643
71.808,screen,0.000624
71.842,screen,0.000582
71.877,screen,0.000600
71.921,screen,0.000632
71.960,screen,0.000630
71.998,screen,0.000586
72.042,screen,0.000761
72.247,screen,0.000566
72.277,screen,0.000777
72.325,screen,0.000862
72.361,screen,0.000654
72.407,screen,0.000644
72.447,screen,0.000626
72.499,screen,0.000596
72.520,screen,0.000549
72.566,screen,0.000555
72.608,screen,0.000552
72.645,screen,0.000569
72.688,screen,0.000570
72.731,screen,0.000488
72.762,screen,0.000475
72.811,screen,0.000615
72.843,screen,0.000589
72.884,screen,0.000606
72.929,screen,0.000651
72.966,screen,0.000590
73.011,screen,0.000524
73.045,screen,0.000530
73.088,screen,0.000530
73.130,screen,0.000528
73.166,screen,0.000539
73.210,screen,0.000548
73.247,screen,0.000658
73.290,screen,0.000686
73.327,screen,0.000678
73.366,screen,0.000727
73.412,screen,0.000654
73.446,screen,0.000620
73.495,screen,0.000637
73.529,screen,0.000658
73.573,screen,0.000649
73.610,screen,0.000619
73.647,screen,0.000597
73.694,screen,0.000628
73.729,screen,0.000592
73.774,screen,0.000511
73.813,screen,0.000496
73.848,screen,0.000495
73.894,screen,0.000478
73.927,screen,0.000447
73.966,screen,0.000449
74.008,screen,0.000510
74.048,screen,0.000594
74.088,screen,0.000662
74.129,screen,0.000680
74.167,screen,0.000695
74.210,screen,0.000673
74.247,screen,0.000624
74.293,screen,0.000700
74.328,screen,0.000610
74.368,screen,0.000811
74.411,screen,0.000757
74.445,screen,0.000712
74.494,screen,0.000772
74.529,screen,0.000753
74.568,screen,0.000760
74.613,screen,0.000765
74.647,screen,0.000890
74.694,screen,0.000725
74.729,screen,0.000777
74.771,screen,0.000724
75.375,screen,0.000796
75.414,screen,0.000690
75.449,screen,0.000623
75.497,screen,0.000628
75.540,screen,0.000689
75.580,screen,0.000638
75.617,screen,0.000595
75.662,screen,0.000531
75.696,screen,0.000514
75.738,screen,0.000530
75.780,screen,0.000506
75.817,screen,0.000520
75.863,screen,0.000513
75.895,screen,0.000507
75.943,screen,0.000504
75.978,screen,0.000522
76.016,screen,0.000506
76.061,screen,0.000552
76.096,screen,0.000517
76.141,screen,0.000522
76.178,screen,0.000522
76.220,screen,0.000500
76.261,screen,0.000514
76.297,screen,0.000531
76.342,screen,0.000529
76.378,screen,0.000542
76.420,screen,0.000535
76.457,screen,0.000534
76.494,screen,0.000660
76.543,screen,0.000669
76.578,screen,0.000650
76.625,screen,0.000673
76.660,screen,0.000590
76.699,screen,0.000570
76.744,screen,0.000547
76.780,screen,0.000535
76.825,screen,0.000520
76.862,screen,0.000540
76.900,screen,0.000517
76.944,screen,0.000517
76.977,screen,0.000557
77.022,screen,0.000664
77.062,screen,0.000673
77.104,screen,0.000641
77.142,screen,0.000603
77.179,screen,0.000579
77.216,screen,0.000550
77.260,screen,0.000656
77.298,screen,0.000673
77.343,screen,0.000666
77.377,screen,0.000649
77.426,screen,0.000697
77.460,screen,0.000654
77.509,screen,0.000579
77.546,screen,0.000558
77.582,screen,0.000513
77.626,screen,0.000487
77.661,screen,0.000550
77.705,screen,0.000506
77.745,screen,0.000493
77.782,screen,0.000520
77.829,screen,0.000497
77.864,screen,0.000492
77.909,screen,0.000482
77.945,screen,0.000458
77.991,screen,0.000450
78.026,screen,0.000477
78.065,screen,0.000473
78.109,screen,0.000470
78.143,screen,0.000457
78.191,screen,0.000447
78.229,screen,0.000441
78.264,screen,0.000454
78.310,screen,0.000440
78.345,screen,0.000462
78.392,screen,0.000477
78.430,screen,0.000469
78.466,screen,0.000456
78.511,screen,0.000457
78.547,screen,0.000463
78.591,screen,0.000442
78.629,screen,0.000466
78.665,screen,0.000495
78.711,screen,0.000511
78.745,screen,0.000600
78.791,screen,0.000660
78.828,screen,0.000802
78.867,screen,0.000856
78.912,screen,0.001051
78.947,screen,0.001095
78.996,screen,0.001415
79.028,screen,0.001715
79.072,screen,0.001857
79.110,screen,0.002183
79.149,screen,0.002325
79.193,screen,0.002287
79.229,screen,0.002450
79.274,screen,0.002289
79.311,screen,0.002253
79.350,screen,0.002426
79.395,screen,0.002364
79.428,screen,0.002292
79.475,screen,0.002170
79.512,screen,0.002341
79.554,screen,0.002363
79.594,screen,0.002257
79.631,screen,0.002076
79.675,screen,0.002098
79.710,screen,0.002019
79.754,screen,0.001780
